rating,title,year
7.6,Nelly & Monsieur Arnaud,1995
7.3,Courage Under Fire,1996
6.6,Mission: Impossible III,2006
7.3,Cold Fever,1995
5.5,Moll Flanders,1996
5.9,"301, 302",1995
5.7,DragonHeart,1996
0,Mutters Courage,1995
7.4,48 Hrs.,1982
0,Billy's Holiday,1995
8.2,Plein soleil,1960
4.8,August Rush,2007
7,James and the Giant Peach,1996
4.8,Fear,1996
4.7,Kids in the Hall: Brain Candy,1996
3.8,Faithful,1996
7.5,Underground,1995
0,Lust och fägring stor,1995
0,Bloodsport 2,1996
8.9,Pather Panchali,1955
9,Apur Sansar,1959
6.4,Mystery Science Theater 3000: The Movie,1996
5.1,Space Jam,1996
6,Barbarella,1968
0,Some Folks Call It a Sling Blade,1994
6,The Run of the Country,1995
7.9,"Alphaville, une étrange aventure de Lemmy Caution",1965
7.2,Coup de torchon,1981
0,Tigrero: A Film That Was Never Made,1994
0,L'oeil de Vichy,1993
5.8,It's My Party,1996
6.5,Country Life,1994
4,Operation Dumbo Drop,1995
7,Das Versprechen,1995
3.8,Mrs. Winterbourne,1996
3.2,Solo,1996
0,Etz Hadomim Tafus,1995
4.6,The Substitute,1996
6,True Crime,1999
6.4,Butterfly Kiss,1995
3.8,Feeling Minnesota,1996
4.4,Delta of Venus,1995
6,"Angus, Thongs and Perfect Snogging",2008
0,Daens,1992
7.9,Face/Off,1997
7.5,Boy A,2007
7.2,Galaxy Quest,1999
0,Così fan tutte,1992
4.6,Sunset Park,1996
5.1,Mulholland Falls,1996
6.7,The Truth About Cats & Dogs,1996
5.4,Oliver & Company,1988
3.1,Celtic Pride,1996
4.8,Flipper,1996
6.7,La captive,2000
4.2,Of Love and Shadows,1994
6.8,Dead Man,1995
6.6,Le hussard sur le toit,1995
5.4,The Jezebels,1975
5.8,Boca a boca,1995
5.4,Les visiteurs,1993
5.4,Multiplicity,1996
0,The Haunted World of Edward D. Wood Jr.,1995
5.4,The Craft,1996
5.1,The Great White Hype,1996
0,Save the Last Dance,2001
0,War Stories,2003
7.5,Cold Comfort Farm,1995
7.5,"Institute Benjamenta, or This Dream People Call Human Life",1995
4.1,Heaven's Prisoners,1996
6.5,The Rock,1996
3,Getting Away with Murder,1996
6,Dellamorte Dellamore,1994
6,Twister,1996
0,Le garçu,1995
7.4,Kôkaku kidôtai,1995
3.8,Thinner,1996
3.2,Spy Hard,1996
0,Brothers in Trouble,1995
8.5,Wallace and Gromit in A Close Shave,1995
8.6,Force of Evil,1948
3.1,The Stupids,1996
6.3,The Arrival,1996
9,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
6.4,Careful,1992
6.2,A Month by the Lake,1995
6.2,Gold Diggers: The Secret of Bear Mountain,1995
6.6,Kim,1950
6,Carmen Miranda: Bananas Is My Business,1995
6.6,Dung che sai duk,1994
7.5,Maya Lin: A Strong Clear Vision,1994
7.1,Stalingrad,1993
0,Star Wars: Episode I - The Phantom Menace,1999
3.4,Striptease,1996
0,The Last of the High Kings,1996
8.6,This Is Spinal Tap,1984
4,Jack,1996
6.7,I Shot Andy Warhol,1996
5.9,The Grass Harp,1995
5.8,La môme,2007
0,Wend Kuuni,1982
6.6,Histoires extraordinaires,1968
8.2,Trainspotting,1996
3.9,'Til There Was You,1997
6.2,Independence Day,1996
5.9,Stealing Beauty,1996
4.8,The Fan,1996
8.3,The Hunchback of Notre Dame,1939
5.4,The Cable Guy,1996
5.8,Kingpin,1996
4.9,Eraser,1996
0,The Gate of Heavenly Peace,1995
6,The Nutty Professor,1996
0,"The Last Klezmer: Leopold Kozlowski, His Life and Music",1994
0,"Hol volt, hol nem volt",1987
6.9,En compagnie d'Antonin Artaud,1993
0,A Very Natural Thing,1974
4.7,Daylight,1996
6.3,The Frighteners,1996
0,Lone Star State of Mind,2002
5.1,Harriet the Spy,1996
5.9,Phenomenon,1996
7.1,Walking and Talking,1996
5.8,She's the One,1996
6.1,A Time to Kill,1996
6.6,American Buffalo,1996
6.8,Les rendez-vous de Paris,1995
4.9,"Mystery, Alaska",1999
4.3,Fled,1996
2.5,Kazaam,1996
4.1,Larger Than Life,1996
0,A Boy Called Hate,1995
5.6,A Very Brady Sequel,1996
7.8,La mort en ce jardin,1956
0,The Crude Oasis,1995
7.1,La collectionneuse,1967
0,Jeder für sich und Gott gegen alle,1974
3.5,O Convento,1995
4.8,The Adventures of Pinocchio,1996
3.8,Joe's Apartment,1996
5.4,The First Wives Club,1996
6.5,Stonewall,1995
6.4,Ransom,1996
5.9,High School Musical 3: Senior Year,2008
0,Phat Beach,1996
5.3,Foxfire,1996
4.1,Chain Reaction,1996
7.4,Matilda,1996
0,Emma,1996
3.4,The Crow: City of Angels,1996
3.5,House Arrest,1996
8.2,Les yeux sans visage,1960
3.2,Bordello of Blood,1996
0,Xinghua san yue tian,1994
0,Tian guo ni zi,1994
6.6,Flirt,1995
5,The Big Squeeze,1996
5.4,The Spitfire Grill,1996
5.6,Escape from L.A.,1996
6.5,Xich lo,1995
0,Basquiat,1996
6.5,Tin Cup,1996
6.8,Evil Angels,1988
9,The Godfather,1972
5.9,Der bewegte Mann,1994
7.3,Ging chat goo si 3: Chiu kup ging chat,1992
5.8,Manny & Lo,1996
5.1,The Time Traveler's Wife,2009
6.7,Small Faces,1996
7.7,Bound,1996
2.4,Carpool,1996
0,Death in Brunswick,1991
5.9,Kansas City,1996
2.2,Gone Fishin',1997
8.1,Ai qing wan sui,1994
5.1,Nothing to Lose,1997
6,Chao ji ji hua,1993
6.8,Girls Town,1996
4.4,The Relic,1997
4.3,The Island of Dr. Moreau,1996
4,First Kid,1996
6.4,The Trigger Effect,1996
0,Sweet Nothing in My Ear,2008
6,Bill & Ted's Bogus Journey,1991
4.3,Bulletproof Monk,2003
0,Talk of Angels,1998
0,The Land Before Time III: The Time of the Great Giving,1995
5.6,Miami Vice,2006
2.5,Halloween: The Curse of Michael Myers,1995
6.8,Twelfth Night,1996
6.3,Mother Night,1996
8.2,Les roseaux sauvages,1994
6.4,For Whom the Bell Tolls,1943
8.6,The Philadelphia Story,1940
9.2,Singin' in the Rain,1952
7.9,An American in Paris,1951
7.6,Funny Face,1957
7.4,Breakfast at Tiffany's,1961
8.6,Vertigo,1958
8.9,Rear Window,1954
8.7,It Happened One Night,1934
7.6,Gaslight,1944
7.8,The Gay Divorcee,1934
9,North by Northwest,1959
8.3,The Apartment,1960
8.9,Some Like It Hot,1959
8.1,Charade,1963
9,Casablanca,1942
9,The Maltese Falcon,1941
8,My Fair Lady,1964
7.4,Sabrina,1954
8.2,Roman Holiday,1953
8.4,A Little Princess,1995
8.4,Meet Me in St. Louis,1944
9.2,The Wizard of Oz,1939
8.7,Gone with the Wind,1939
7.8,My Favorite Year,1982
9.2,Sunset Blvd.,1950
9.4,Citizen Kane,1941
8.8,2001: A Space Odyssey,1968
0,Golden Earrings,1947
9,All About Eve,1950
3.9,The Women,2008
8.7,Rebecca,1940
7.9,Foreign Correspondent,1940
5.5,Notorious,2009
7.3,Spellbound,1945
6.4,An Affair to Remember,1957
8,To Catch a Thief,1955
5.8,Father of the Bride,1991
8.5,The Band Wagon,1953
8.3,Ninotchka,1939
7.1,Love in the Afternoon,1957
7.1,Gigi,1958
0,The Reluctant Debutante,1958
8.9,The Adventures of Robin Hood,1938
7.1,The Mask of Zorro,1998
8.6,Laura,1944
8.2,The Ghost and Mrs. Muir,1947
7.6,Lost Horizon,1937
8.6,Top Hat,1935
8.7,To Be or Not to Be,1942
8.4,My Man Godfrey,1936
7.7,Giant,1956
8.2,East of Eden,1955
8.5,The Thin Man,1934
8.6,His Girl Friday,1940
4.8,Around the World in 80 Days,2004
8.7,It's a Wonderful Life,1946
7.4,Mr. Smith Goes to Washington,1939
8.4,Bringing Up Baby,1938
7.4,Penny Serenade,1941
3,The Scarlet Letter,1995
5.5,Lady of Burlesque,1943
6.9,Of Human Bondage,1934
0,Angel on My Shoulder,1946
7,Little Lord Fauntleroy,1936
6.8,The Inspector General,1949
6.5,Angel and the Badman,1947
8.8,The 39 Steps,1935
0,A Walk in the Sun,1945
0,Outlaw,2007
8.5,Night of the Living Dead,1968
8.7,The African Queen,1951
6.6,Beat the Devil,1953
7.8,Cat on a Hot Tin Roof,1958
6.3,The Last Time I Saw Paris,1954
7.2,Meet John Doe,1941
9,La battaglia di Algeri,1966
7.6,A Farewell to Arms,1932
0,Huang jia shi jie,1985
8.3,On Dangerous Ground,1952
6.5,Picnic,1955
0,Madagascar Skin,1995
3.8,The Pompatus of Love,1995
7.1,Fly Away Home,1996
5.8,Bliss,1997
6.7,Grace of My Heart,1996
6.6,Schlafes Bruder,1995
4.3,Maximum Risk,1996
6.8,Michael Collins,1996
4.1,The Rich Man's Wife,1996
6.2,,1996
8,Big Night,1996
5.1,Last Man Standing,1996
6.3,Caught,1996
6,Set It Off,1996
6.1,2 Days in the Valley,1996
4.3,Curdled,1996
5.1,The Associate,1996
6.3,Ed's Next Move,1996
6,Extreme Measures,1996
3.4,The Glimmer Man,1996
3.7,D3: The Mighty Ducks,1996
4.5,The Chamber,1996
6,The Apple Dumpling Gang,1975
0,"Davy Crockett, King of the Wild Frontier",1955
6,Escape to Witch Mountain,1975
5.7,The Love Bug,1968
0,Herbie Rides Again,1974
7.7,Old Yeller,1957
7,The Parent Trap,1998
7.4,Pollyanna,1960
6.5,Homeward Bound: The Incredible Journey,1993
4.4,The Shaggy Dog,2006
6.7,Swiss Family Robinson,1960
3.8,That Darn Cat,1997
