Hardware, 51
1990, Revolução da Internet e Desenvolvimento de Software para a Web, O surgimento da World Wide Web transformou o desenvolvimento de software e permitiu a criação de aplicativos web e a expansão do comércio eletrônico. Este período também viu o surgimento de novas linguagens de programação e frameworks que facilitaram o desenvolvimento de software para a internet
1843,Ada Lovelace escreve um algoritmo para que a máquina analítica de Babbage pudesse computar a sequência de Bernoulli (o algoritmo é reconhecido pela academia científica como o primeiro programa de computador da história).
1954,Criação da linguagem de programação Fortran
1985,Criação do Windows 1.0
1957,FORTRAN
1991,Linux
2007,iOS
2008,Android
1990, Criação da World Wide Web
1991, Criação do Block Chain
1995, Lançamento do winrar
1985 , Criação do windows
2004 , Criação do facebook
2008 , Android foi lançado
1956, Criação do sistema operacional da General Motors GM-NAA I/O. Primeiro sistema operacional a ser utilizado no computador IBM 704 (utilizado para calculos a larga escala).,
2003, Lançamento do software Skype. Permitiu contato entre usuários por mensagens e videoconferências.,
2005, Criação do Youtube. O aplicativo hospeda vídeos e é o mais utilizado para produção e consumo desse formato de mídia até hoje.
1985, criação do Windows,
1990, começo do desenvolvimento de aplicativos web com javascript e HTML,
2000, criação de novas linguagens e frameworks voltados para a criação de apps móveis,
1822,Modelo  da maquína diferencial de Babbage
1842,Primeiro programa descrito
1871,Confecção da maquína analítica
1990, Lançamento da primeira versão do Office
2005, Lançamento do Google Maps
2022, Lançamento de Elden Ring
1957,Desenvolvimento da Linguagem de Programação FORTRAN. FORmula TRANslation foi a primeira linguagem de programação de alto nível
1985,Lançamento do Microsoft Windows 1.0. Foi a primeira versão de um sistema operacional com interface gráfica (GUI) da Microsoft
1989,Lançamento do Microsoft Office. Inicialmente lançado com uma combinação de aplicativos de escritório
1985, Criação do Windows 1.01 pela Microsoft e suportava apenas 1 MB
1990, Criação do WorldWideWeb (WWW) o primeiro navegador web
1991, Criação do sistema Linux
1995, Lançamento do Windows 95
2000, Lançamento do jogo The Sims
2009, Lançamento do WhatsApp
